Takes 1.41555285454 seconds to evaluate 500 spectra with 5000 training values.

         7793609 function calls (7741824 primitive calls) in 64.609 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1549    0.004    0.000    0.028    0.000 transforms.py:2626(__init__)
1878/1872    0.005    0.000    0.027    0.000 transforms.py:2154(get_affine)
      150    0.000    0.000    0.027    0.000 lines.py:1169(_draw_lines)
      150    0.000    0.000    0.027    0.000 lines.py:1193(_draw_solid)
        3    0.000    0.000    0.027    0.009 _axes.py:5639(contour)
     2030    0.005    0.000    0.027    0.000 transforms.py:1741(transform_affine)
248560/248117    0.026    0.000    0.027    0.000 {len}
    18700    0.026    0.000    0.026    0.000 weakref.py:282(__init__)
      200    0.004    0.000    0.025    0.000 core.py:6547(concatenate)
        6    0.000    0.000    0.025    0.004 cbook.py:1802(delete_masked_points)
    15743    0.011    0.000    0.025    0.000 artist.py:314(pchanged)
        3    0.002    0.001    0.025    0.008 backend_qt5.py:436(__init__)
        1    0.010    0.010    0.025    0.025 artist.py:1(<module>)
      794    0.022    0.000    0.024    0.000 {matplotlib._path.point_in_path}
      553    0.002    0.000    0.024    0.000 texmanager.py:385(make_dvi)
      201    0.000    0.000    0.024    0.000 base.py:187(predict)
      201    0.003    0.000    0.024    0.000 base.py:180(_decision_function)
    18700    0.015    0.000    0.023    0.000 weakref.py:277(__new__)
      356    0.009    0.000    0.023    0.000 {method 'emit' of 'PyQt4.QtCore.pyqtBoundSignal' objects}
        9    0.000    0.000    0.023    0.003 figure.py:408(_set_dpi)
        1    0.014    0.014    0.023    0.023 dates.py:111(<module>)
        9    0.000    0.000    0.023    0.003 transforms.py:1880(clear)
      237    0.001    0.000    0.022    0.000 texmanager.py:577(get_grey)
       68    0.018    0.000    0.022    0.000 collections.py:305(namedtuple)
      120    0.001    0.000    0.022    0.000 spines.py:278(draw)
     1626    0.007    0.000    0.022    0.000 font_manager.py:816(set_family)
      396    0.001    0.000    0.021    0.000 axis.py:339(_get_text1_transform)
    27558    0.012    0.000    0.021    0.000 core.py:6042(isMaskedArray)
      326    0.004    0.000    0.021    0.000 core.py:2707(__new__)
      396    0.002    0.000    0.021    0.000 _base.py:657(get_xaxis_text1_transform)
    20598    0.014    0.000    0.021    0.000 six.py:575(iteritems)
     6455    0.007    0.000    0.020    0.000 artist.py:72(_stale_axes_callback)
       84    0.001    0.000    0.020    0.000 axis.py:1710(_get_pixel_distance_along_axis)
     2882    0.006    0.000    0.020    0.000 colors.py:334(to_rgba)
       50    0.000    0.000    0.020    0.000 camb.py:300(__del__)
        1    0.002    0.002    0.020    0.020 __init__.py:623(<module>)
      396    0.001    0.000    0.020    0.000 axis.py:342(_get_text2_transform)
       50    0.020    0.000    0.020    0.000 camb.py:303(free)
    12088    0.014    0.000    0.020    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.020    0.007 backend_qt5.py:325(resizeEvent)
     1798    0.010    0.000    0.020    0.000 path.py:172(_fast_from_codes_and_verts)
      600    0.006    0.000    0.019    0.000 texmanager.py:224(get_basefile)
      396    0.001    0.000    0.019    0.000 _base.py:683(get_xaxis_text2_transform)
        1    0.003    0.003    0.019    0.019 font_manager.py:21(<module>)
        8    0.001    0.000    0.019    0.002 backend_qt5agg.py:72(paintEvent)
        3    0.000    0.000    0.019    0.006 figure.py:670(set_size_inches)
      803    0.004    0.000    0.019    0.000 core.py:3110(__getitem__)
        3    0.000    0.000    0.019    0.006 _base.py:2895(set_xticklabels)
        3    0.000    0.000    0.019    0.006 transforms.py:982(_set_p1)
        1    0.000    0.000    0.019    0.019 __init__.py:469(checkdep_usetex)
        1    0.016    0.016    0.019    0.019 cm.py:6(<module>)
    11415    0.014    0.000    0.018    0.000 cbook.py:687(iterable)
      200    0.002    0.000    0.018    0.000 core.py:4342(reshape)
    34329    0.018    0.000    0.018    0.000 {method 'read' of 'file' objects}
      369    0.001    0.000    0.018    0.000 axis.py:475(_get_text1_transform)
      912    0.001    0.000    0.018    0.000 lines.py:680(_get_transformed_path)
     5418    0.007    0.000    0.018    0.000 artist.py:624(set_figure)
       53    0.001    0.000    0.018    0.000 _base.py:1726(_update_line_limits)
        6    0.018    0.003    0.018    0.003 {built-in method statusBar}
      369    0.002    0.000    0.017    0.000 _base.py:734(get_yaxis_text1_transform)
      353    0.002    0.000    0.017    0.000 backend_qt5.py:663(set_message)
      806    0.002    0.000    0.017    0.000 lines.py:666(_transform_path)
  789/788    0.002    0.000    0.017    0.000 transforms.py:1090(get_points)
      109    0.001    0.000    0.017    0.000 sre_parse.py:706(parse)
     1005    0.010    0.000    0.017    0.000 transforms.py:401(_get_bounds)
        3    0.000    0.000    0.017    0.006 machar.py:98(__init__)
    12094    0.014    0.000    0.017    0.000 six.py:572(itervalues)
        3    0.005    0.002    0.017    0.006 machar.py:116(_do_init)
        1    0.000    0.000    0.017    0.017 pyplot.py:2226(colorbar)
        1    0.000    0.000    0.017    0.017 figure.py:1575(colorbar)
        1    0.000    0.000    0.017    0.017 colorbar.py:1316(colorbar_factory)
        1    0.000    0.000    0.017    0.017 colorbar.py:877(__init__)
        1    0.000    0.000    0.017    0.017 colorbar.py:261(__init__)
       12    0.000    0.000    0.017    0.001 collections.py:1049(__init__)
      369    0.001    0.000    0.016    0.000 axis.py:478(_get_text2_transform)
        1    0.001    0.001    0.016    0.016 basic.py:5(<module>)
        1    0.000    0.000    0.016    0.016 colorbar.py:339(draw_all)
  309/109    0.001    0.000    0.016    0.000 sre_parse.py:317(_parse_sub)
      369    0.001    0.000    0.016    0.000 _base.py:760(get_yaxis_text2_transform)
    13913    0.016    0.000    0.016    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.016    0.016 orthogonal.py:90(<module>)
  408/116    0.007    0.000    0.016    0.000 sre_parse.py:395(_parse)
     3825    0.003    0.000    0.016    0.000 axis.py:279(_set_artist_props)
        1    0.002    0.002    0.016    0.016 __init__.py:168(<module>)
       11    0.000    0.000    0.015    0.001 artist.py:1473(kwdoc)
      395    0.000    0.000    0.015    0.000 transforms.py:281(__array__)
    10273    0.015    0.000    0.015    0.000 {max}
     4297    0.005    0.000    0.015    0.000 artist.py:329(set_transform)
        1    0.000    0.000    0.015    0.015 colorbar.py:413(_config_axes)
     1714    0.006    0.000    0.015    0.000 transforms.py:2438(get_matrix)
      553    0.007    0.000    0.015    0.000 dviread.py:102(_output)
     4614    0.002    0.000    0.015    0.000 {method 'any' of 'numpy.ndarray' objects}
      237    0.014    0.000    0.014    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
